City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,296.19,83,20,9.26,MG,1726683315
1,waitangi,-43.9535,-176.5597,281.38,88,96,3.58,NZ,1726683316
2,adamstown,-25.066,-130.1015,293.64,82,10,2.5,PN,1726683317
3,arkhangel'sk,64.5401,40.5433,285.21,100,75,2.0,RU,1726683318
4,ilulissat,69.2167,-51.1,276.16,81,75,0.0,GL,1726683319
5,wailua homesteads,22.0669,-159.378,299.59,84,100,6.69,US,1726683320
6,reyes,-14.3167,-67.3833,309.13,44,4,4.12,BO,1726683321
7,saint-joseph,-21.3667,55.6167,293.36,81,40,3.76,RE,1726683322
8,elk city,35.412,-99.4043,305.14,48,0,8.23,US,1726683325
9,hermanus,-34.4187,19.2345,284.15,77,99,8.27,ZA,1726683326
10,constantia,44.1833,28.65,289.65,60,78,5.04,RO,1726683327
11,ciamis,-7.3257,108.3534,293.22,94,69,0.95,ID,1726683328
12,radomyshl,50.4961,29.2291,288.9,58,100,4.8,UA,1726683329
13,lebu,-37.6167,-73.65,286.04,72,100,7.8,CL,1726683330
14,puerto natales,-51.7236,-72.4875,280.4,39,0,7.2,CL,1726683332
15,ardestan,33.3761,52.3694,298.64,25,0,3.27,IR,1726683333
16,ko pha ngan,9.7578,100.0291,298.18,78,100,11.99,TH,1726683334
17,bilibino,68.0546,166.4372,272.74,98,100,1.75,RU,1726683336
18,nar'yan-mar,67.6713,53.087,283.25,84,100,1.82,RU,1726683337
19,arvayheer,46.2639,102.775,275.3,75,100,5.98,MN,1726683338
20,jamestown,42.097,-79.2353,297.6,59,20,0.89,US,1726683339
21,pindobacu,-10.7417,-40.3608,304.38,24,0,4.42,BR,1726683340
22,ushuaia,-54.8,-68.3,278.96,45,40,6.69,AR,1726683341
23,dudinka,69.4058,86.1778,278.11,96,100,7.15,RU,1726683342
24,amasra,41.7463,32.3863,293.72,80,100,3.25,TR,1726683343
25,thompson,55.7435,-97.8558,297.24,57,40,2.57,CA,1726683344
26,berezovyy,51.6667,135.7,274.94,91,39,2.09,RU,1726683345
27,touros,-5.1989,-35.4608,300.81,63,50,8.44,BR,1726683346
28,birao,10.2849,22.7882,294.64,96,75,8.38,CF,1726683347
29,mujiayingzi,42.1167,118.7833,290.72,89,93,2.48,CN,1726683349
30,college,64.8569,-147.8028,282.63,87,100,1.54,US,1726683232
31,grytviken,-54.2811,-36.5092,271.79,65,9,3.89,GS,1726683351
32,severnoye,56.3491,78.3619,280.43,89,13,2.88,RU,1726683352
33,waddan,29.1614,16.139,307.34,32,33,7.36,LY,1726683353
34,praia da vitoria,38.7333,-27.0667,297.29,57,20,5.0,PT,1726683354
35,leer,53.2316,7.461,290.9,89,7,3.8,DE,1726683355
36,okha,53.5739,142.9478,280.43,74,100,5.55,RU,1726683356
37,blackmans bay,-43.0167,147.3167,279.67,73,99,0.89,AU,1726683357
38,hawaiian paradise park,19.5933,-154.9731,295.86,96,100,3.6,US,1726683358
39,hasaki,35.7333,140.8333,299.26,92,71,0.44,JP,1726683359
40,bumba,2.1833,22.4667,296.39,90,81,0.6,CD,1726683360
41,grande prairie,55.1667,-118.8027,289.25,55,75,5.14,CA,1726683362
42,polyarnyy,69.1989,33.4478,283.64,86,100,5.43,RU,1726683363
43,haiku-pauwela,20.9219,-156.3051,299.4,73,20,8.94,US,1726683364
44,rongelap,11.1635,166.8941,301.53,77,9,5.39,MH,1726683366
45,el alto,-4.2714,-81.2147,294.3,68,33,7.72,PE,1726683367
46,katsuura,35.1333,140.3,300.27,90,81,5.32,JP,1726683368
47,yatou,37.15,122.3833,296.36,91,100,1.69,CN,1726683369
48,saint-francois,46.4154,3.9054,287.95,79,0,1.03,FR,1726683370
49,iqaluit,63.7506,-68.5145,276.0,86,100,3.6,CA,1726683371
50,lively,46.4334,-81.1498,299.27,41,3,2.13,CA,1726683372
51,isafjordur,66.0755,-23.124,277.17,81,100,3.09,IS,1726683373
52,general conesa,-40.1,-64.4333,300.91,11,92,7.1,AR,1726683375
53,albany,42.6001,-73.9662,299.03,59,100,0.45,US,1726683376
54,bel ombre,-4.6167,55.4167,300.06,78,40,5.66,SC,1726683377
55,greytown,-29.0642,30.5928,287.88,93,3,1.54,ZA,1726683378
56,qamdo,31.1667,97.2333,281.07,71,14,1.24,CN,1726683379
57,port-aux-francais,-49.35,70.2167,276.72,95,100,14.88,TF,1726683380
58,bethel,41.3712,-73.414,296.81,69,0,2.57,US,1726683381
59,arraial do cabo,-22.9661,-42.0278,297.07,60,75,6.17,BR,1726683382
60,haselunne,52.6667,7.4833,292.19,77,16,2.06,DE,1726683384
61,atafu village,-8.5421,-172.5159,300.81,69,58,2.72,TK,1726683386
62,klyuchi,52.2667,79.1667,281.82,64,0,2.72,RU,1726683387
63,port augusta,-32.5,137.7667,283.28,53,0,3.19,AU,1726683388
64,sisimiut,66.9395,-53.6735,277.21,70,96,0.69,GL,1726683389
65,revda,56.801,59.9303,284.88,93,5,1.7,RU,1726683390
66,butte,39.6499,-121.5677,294.81,58,0,0.0,US,1726683391
67,badger,64.8,-147.5333,282.1,87,100,1.54,US,1726683392
68,utrik,11.2278,169.8474,301.33,74,9,4.65,MH,1726683393
69,campo belo,-20.8972,-45.2772,304.93,24,1,2.64,BR,1726683394
70,linxia chengguanzhen,35.6003,103.2064,292.76,75,76,1.26,CN,1726683395
71,edinburgh of the seven seas,-37.0676,-12.3116,285.87,82,100,10.02,SH,1726683397
72,udachny,66.4167,112.4,269.85,93,80,5.65,RU,1726683398
73,jayapura,-2.5333,140.7,297.81,94,56,2.01,ID,1726683399
74,invercargill,-46.4,168.35,280.38,82,86,4.02,NZ,1726683400
75,puerto armuelles,8.2833,-82.8667,302.09,75,99,1.79,PA,1726683401
76,baker city,44.7749,-117.8344,289.99,48,75,0.0,US,1726683402
77,veraval,20.9,70.3667,299.36,84,4,3.61,IN,1726683403
78,fort st. john,56.2499,-120.8529,286.09,67,75,5.66,CA,1726683404
79,port mathurin,-19.6833,63.4167,295.27,83,11,8.74,MU,1726683405
80,west island,-12.1568,96.8225,298.14,78,40,5.14,CC,1726683406
81,liberty,31.8335,-81.5004,303.3,35,75,2.57,US,1726683407
82,lazaro cardenas,17.9583,-102.2,303.93,65,73,1.33,MX,1726683408
83,charters towers,-20.1,146.2667,290.62,82,85,3.86,AU,1726683409
84,alice springs,-23.7,133.8833,282.9,34,0,0.0,AU,1726683165
85,kuching,1.55,110.3333,299.84,90,20,0.89,MY,1726683412
86,tabas,33.5959,56.9244,303.56,19,3,4.17,IR,1726683413
87,northam,51.0333,-4.2167,291.27,82,0,5.69,GB,1726683414
88,tofol,5.3248,163.0078,302.25,70,87,3.12,FM,1726683415
89,georgetown,5.4112,100.3354,302.11,77,20,4.63,MY,1726683416
90,watampone,-4.5386,120.3279,297.0,92,89,1.44,ID,1726683417
91,selebi-phikwe,-21.979,27.8498,301.21,17,1,0.74,BW,1726683418
92,bu'aale,1.0833,42.5833,298.02,75,64,5.73,SO,1726683419
93,bredasdorp,-34.5322,20.0403,284.12,86,90,8.11,ZA,1726683420
94,flying fish cove,-10.4217,105.6791,297.97,73,40,4.63,CX,1726683422
95,leo,11.1,-2.1,298.74,83,100,1.73,BF,1726683423
96,whitehorse,60.7161,-135.0538,283.58,59,75,8.23,CA,1726683424
97,manta,-0.95,-80.7333,299.03,73,20,6.69,EC,1726683425
98,las khorey,11.1595,48.1967,304.43,64,3,1.25,SO,1726683426
99,la passe,45.5549,-0.8967,291.47,61,5,7.48,FR,1726683427
100,amahai,-3.3333,128.9167,299.0,90,100,0.97,ID,1726683428
101,zarichne,51.8126,26.129,290.72,44,65,3.19,UA,1726683429
102,papatowai,-46.5619,169.4708,279.16,84,98,3.14,NZ,1726683430
103,margate,51.3813,1.3862,290.86,88,47,1.34,GB,1726683431
104,shingu,33.7333,135.9833,298.22,88,22,2.68,JP,1726683432
105,ta`u,-14.2336,-169.5144,299.3,78,21,2.52,AS,1726683434
106,chulym,55.0997,80.9572,279.9,81,11,1.77,RU,1726683435
107,madang,-5.2246,145.7966,298.0,94,94,0.35,PG,1726683436
108,kapenguria,1.2511,35.0895,288.1,79,87,3.06,KE,1726683437
109,itamaraca,-7.7478,-34.8256,299.86,65,54,5.47,BR,1726683438
110,dubbo,-32.25,148.6167,275.22,87,0,2.06,AU,1726683439
111,bodo,67.28,14.405,287.84,95,100,1.79,NO,1726683440
112,colares,38.7992,-9.4469,294.7,80,0,4.12,PT,1726683441
113,nguigmi,14.2495,13.1092,304.91,51,22,4.43,NE,1726683442
114,cidreira,-30.1811,-50.2056,292.32,72,63,9.38,BR,1726683443
115,gadzhiyevo,69.2551,33.3362,283.92,85,100,5.68,RU,1726683444
116,asheboro,35.7079,-79.8136,299.61,79,37,1.09,US,1726683445
117,puerto ayora,-0.7393,-90.3518,294.99,76,89,5.94,EC,1726683447
118,andrews,32.3187,-102.5457,305.97,47,3,6.32,US,1726683448
119,humahuaca,-23.2054,-65.3505,296.16,1,1,6.29,AR,1726683449
120,afaahiti,-17.75,-149.2833,297.43,87,69,5.86,PF,1726683450
121,susuman,62.7833,148.1667,273.9,75,97,1.02,RU,1726683451
122,olonkinbyen,70.9221,-8.7187,275.53,96,100,5.75,SJ,1726683452
123,iskateley,67.6803,53.1512,283.2,84,100,1.79,RU,1726683453
124,saipan,15.1355,145.701,300.54,83,40,3.6,MP,1726683454
125,tazovsky,67.4667,78.7,281.13,79,100,6.09,RU,1726683455
126,tanout,14.9709,8.8879,307.03,33,72,3.8,NE,1726683456
127,rio gallegos,-51.6226,-69.2181,282.18,43,75,7.2,AR,1726683457
128,ancud,-41.8697,-73.8203,284.54,73,100,1.06,CL,1726683458
129,volodarskiy,46.4013,48.5409,286.74,45,3,1.79,RU,1726683460
130,longyearbyen,78.2186,15.6401,278.06,93,100,1.03,SJ,1726683461
131,port elizabeth,-33.918,25.5701,288.31,88,20,4.12,ZA,1726683462
132,stanley,54.868,-1.6985,285.53,85,0,2.06,GB,1726683463
133,kuanda,56.3161,116.0806,274.88,74,89,0.85,RU,1726683464
134,queenstown,-31.8976,26.8753,288.25,35,0,1.59,ZA,1726683465
135,ribeira grande,38.5167,-28.7,298.37,44,20,5.81,PT,1726683466
136,desaguadero,-16.5656,-69.0417,287.14,36,8,6.89,PE,1726683467
137,mahina,-17.5065,-149.489,300.02,78,0,5.14,PF,1726683468
